STD_CONC,STD_SIGNAL,GFP_POS_1,GFP_NEG_1,GFP_POS_2,GFP_NEG_2,GFP_POS_3,GFP_NEG_3
0,0.104196694,0.327970642,0.361117704,0.248693957,0.295796391,0.307847607,0.315496892
62.5,0.133361926,0.323041071,0.351208836,0.259303413,0.298904349,0.296823842,0.328137424
125,0.160111573,0.324839007,0.355722304,0.254818146,0.319955945,0.301452265,0.319654614
250,0.235926764,,,,,,
500,0.317804942,,,,,,
750,0.489027278,,,,,,
1000,0.582686444,,,,,,
1500,0.766482437,,,,,,
0,0.10268803,,,,,,
62.5,0.130844193,,,,,,
125,0.166578173,,,,,,
250,0.248666172,,,,,,
500,0.338832558,,,,,,
750,0.50270243,,,,,,
1000,0.588765454,,,,,,
1500,0.822056012,,,,,,
0,0.102254232,,,,,,
62.5,0.13326643,,,,,,
125,0.168708791,,,,,,
250,0.213292884,,,,,,
500,0.319193429,,,,,,
750,0.455944077,,,,,,
1000,0.588868194,,,,,,
1500,0.806399114,,,,,,
